40 1 79 84 56 23 5 70 81 71 80 28 97 47 90 1 80 38 10 43 94 41 12 15 6 13 51 17 7 24 46 48 77 25 84 33 48 42 56 81 13 36 9 62 36 51 64 16 90 74 11 36 67 23 4 73 88 7 90 96 31 88 96 9 65 32 94 13 74 50 46 87 39 55 50 75 7 66 43 49 40 54 37 59 30 41 32 18 48 75 66 32 63 62 93 29 47 87 94 21 90 93 61 29 48 63 56 7 29 51 8 21 5 46 80 35 39 12 6 88 39 72 20 55 87 65 36 34 52 30 7 42 75 68 23 24 31 31 83 12 82 92 33 88 90 13 75 29 78 81 69 17 6 41 24 93 6 60 27 11 
43 86 53 18 55 29 94 38 60 78 51 43 22 84 83 64 50 58 93 80 92 15 49 98 56 74 43 15 34 22 26 77 8 79 96 63 8 90 54 21 20 5 64 42 89 47 6 91 57 52 71 1 19 21 51 75 95 94 90 81 16 16 59 25 48 55 40 8 97 94 29 18 99 93 12 41 92 71 84 50 75 56 51 94 29 3 69 76 97 12 57 66 80 16 43 80 23 83 89 21 30 18 39 29 64 3 22 56 74 7 58 49 15 62 43 44 65 65 72 14 29 29 80 9 46 75 90 69 59 31 42 89 1 33 70 65 37 45 74 11 4 32 13 19 94 56 15 11 73 87 78 2 16 10 12 14 86 54 36 45 
85 78 86 86 64 8 4 1 53 30 64 9 14 77 28 61 34 95 72 7 82 2 62 51 13 26 17 99 80 53 96 17 84 34 55 48 42 11 1 48 41 65 57 56 43 38 17 29 33 41 88 68 44 50 71 57 28 88 8 60 94 4 77 78 38 85 78 32 96 79 32 38 96 42 46 91 80 63 20 65 56 61 85 50 63 8 9 92 97 17 52 43 73 82 21 63 67 51 96 15 82 80 5 78 22 51 70 54 66 42 72 23 3 9 75 19 18 85 63 15 54 15 10 28 49 31 91 16 34 39 84 16 72 89 94 94 41 16 1 7 59 73 82 14 82 10 33 50 47 48 67 1 64 77 81 13 60 73 82 46 
64 66 62 36 55 9 83 48 25 84 8 84 9 42 51 91 52 36 44 99 85 63 1 1 93 82 66 5 7 50 52 72 66 14 60 74 23 43 74 1 27 82 37 36 77 88 80 29 77 76 29 62 91 82 15 36 16 81 42 76 82 46 50 50 12 60 26 88 4 53 89 83 87 26 72 64 67 52 94 44 80 75 58 71 9 73 60 77 6 2 53 88 50 53 41 12 14 67 50 70 72 41 53 60 20 77 24 87 29 18 83 61 45 41 85 6 66 45 84 24 99 37 65 99 91 6 63 57 25 64 79 98 57 84 58 77 62 82 64 43 53 99 5 50 92 90 57 58 87 41 35 86 30 50 37 73 6 50 82 83 
16 61 81 74 46 39 51 8 74 68 51 79 19 8 29 12 50 38 22 89 79 57 75 62 57 12 35 63 13 18 47 81 79 80 55 77 72 59 85 98 79 89 77 98 49 58 10 52 97 33 41 76 90 17 90 50 81 26 15 46 44 14 28 75 95 83 53 19 94 90 17 73 31 94 72 81 4 82 33 1 67 74 30 10 43 20 10 25 46 77 23 42 92 51 18 39 87 23 58 81 13 27 55 45 73 79 78 77 61 11 79 81 37 9 91 33 81 53 58 28 30 33 22 74 85 40 13 24 15 23 5 29 50 12 26 23 91 4 1 5 67 32 38 4 93 81 37 74 34 47 54 16 81 77 43 18 69 56 42 85 
32 99 66 34 64 92 58 7 96 11 64 15 95 2 19 88 83 9 62 69 8 17 38 41 94 81 11 15 89 53 50 73 5 66 8 69 58 66 28 6 29 93 21 24 47 93 12 31 54 26 52 14 95 42 56 89 23 67 5 65 73 57 38 78 24 98 99 34 16 79 93 45 72 14 21 20 59 85 3 65 12 7 80 7 50 36 49 25 55 6 42 28 63 33 58 39 31 9 26 48 89 19 45 13 85 67 85 45 52 40 62 16 48 42 76 50 78 25 27 86 31 70 14 46 55 25 38 86 34 64 86 75 83 32 89 68 51 26 65 55 67 80 72 67 22 48 69 53 25 96 39 8 18 5 6 73 30 44 12 65 
8 50 40 43 34 81 64 37 8 81 93 27 61 17 46 84 17 15 89 42 11 28 50 82 85 56 7 16 53 71 81 13 74 73 57 8 7 21 46 67 54 91 94 16 8 40 52 25 7 93 19 70 73 21 52 58 29 12 74 82 83 7 96 57 81 5 18 40 78 16 7 32 7 53 50 15 45 52 92 52 97 11 74 70 32 79 29 61 91 3 96 26 11 92 36 44 49 54 84 27 22 43 59 29 96 60 96 93 64 88 97 62 51 71 32 35 50 61 96 93 17 44 20 28 88 8 72 37 14 8 64 36 51 76 65 99 88 13 44 4 1 93 66 52 64 51 87 67 64 35 12 33 32 84 61 20 92 85 58 58 
45 74 94 96 50 11 47 38 24 91 43 77 84 61 81 1 64 20 20 81 8 32 14 40 69 28 60 61 13 70 72 59 45 66 7 95 30 7 86 6 50 29 84 87 42 65 40 7 38 60 40 46 44 54 86 13 34 98 27 48 69 99 59 14 17 18 61 47 25 47 54 28 28 90 15 71 55 55 30 45 67 22 91 63 28 77 77 63 28 56 11 97 7 22 63 24 92 24 24 70 72 30 98 52 20 13 75 27 20 57 73 87 79 64 50 8 94 79 71 22 35 34 71 94 8 34 19 50 58 95 70 82 25 68 87 97 33 62 24 53 20 49 40 51 14 91 59 60 70 82 34 58 68 5 52 76 91 23 29 1 
18 99 36 95 20 23 92 53 85 69 7 57 18 47 61 84 90 72 96 13 55 30 23 75 87 75 52 30 51 81 32 21 32 68 17 52 91 61 6 28 82 65 38 1 12 99 37 55 23 34 68 30 16 91 6 56 18 10 86 69 91 18 43 75 38 60 28 81 73 86 10 56 51 50 9 15 51 98 70 74 84 90 5 53 81 11 9 52 21 47 73 64 18 16 39 56 28 19 38 2 5 50 10 8 50 71 24 3 21 46 77 6 37 34 59 70 97 20 22 18 67 96 34 37 64 26 94 93 45 84 47 3 84 9 63 36 80 39 39 1 86 16 59 23 3 70 93 50 90 68 19 10 16 5 47 80 31 93 73 29 
77 72 84 61 81 99 97 13 39 88 67 25 5 26 50 8 97 45 8 39 13 79 1 81 37 1 14 20 94 39 1 24 12 37 85 93 37 35 7 76 23 74 1 80 52 53 40 1 98 1 41 64 32 94 45 69 95 59 90 42 99 43 66 11 81 3 56 18 38 15 94 14 89 47 46 94 50 87 95 50 88 88 14 72 83 60 42 30 71 84 72 22 27 38 33 8 42 42 78 32 57 24 46 99 71 93 93 23 32 88 74 72 29 40 44 12 52 38 42 24 22 15 46 2 5 32 62 47 74 41 80 83 65 78 82 89 23 75 64 55 16 90 27 45 31 72 9 35 10 51 59 85 18 58 39 76 42 1 23 16 
