0 6 3 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
6 0 2 5 9999 9999 1 9999 9999 9999 9999 9999 9999 9999 9999 9999
3 2 0 3 4 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
9999 5 3 0 2 3 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
9999 9999 4 2 0 5 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
9999 9999 9999 3 5 0 3 2 9999 9999 9999 9999 9999 9999 9999 9999
9999 1 9999 9999 9999  3 0 4 9999 9999 9999 9999 9999 9999 9999 9999
9999 9999 9999 9999 9999 2 4 0 7 9999 9999 9999 9999 9999 9999 9999
9999 9999 9999 9999 9999 9999 9999  7 0 5 1 9999 9999 9999 9999 9999
9999 9999 9999 9999 9999 9999 9999 9999 5 0 9999  3 9999 9999 9999 9999
9999 9999 9999 9999 9999 9999 9999 9999 1 9999 0 9999 4 9999 9999 8
9999 9999 9999 9999 9999 9999 9999 9999 9999 3 9999 0 9999 2 9999 9999
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 4 9999 0 1 9999 2
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 2 1 0 6 9999
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 6 0 3
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 8 9999 2 9999 3 0
